# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 
42              	DILUPBiCGStab	5.09177580e-03	3.64941030e-05	1	3.79607540e-03	1.62774830e-05	1	false	DILUPBiCGStab	7.51952430e-03	3.72500300e-05	1	true	GAMG	1.22782200e-02	1.10081430e-04	18	true	DILUPBiCGStab	3.18561880e-02	1.56245170e-03	1	true	DILUPBiCGStab	1.40100690e-03	4.99798290e-05	1	true
43              	DILUPBiCGStab	4.99933510e-03	3.60123780e-05	1	3.71614830e-03	1.63456060e-05	1	false	DILUPBiCGStab	6.96295800e-03	3.40621650e-05	1	true	GAMG	1.19114940e-02	1.02973060e-04	18	true	DILUPBiCGStab	2.91863670e-02	1.48288210e-03	1	true	DILUPBiCGStab	1.35782960e-03	5.05637340e-05	1	true
44              	DILUPBiCGStab	4.91584920e-03	3.54661440e-05	1	3.63921260e-03	1.63853390e-05	1	false	DILUPBiCGStab	6.41533160e-03	3.10576740e-05	1	true	GAMG	1.14843130e-02	9.58711930e-05	18	true	DILUPBiCGStab	2.72324930e-02	1.42018340e-03	1	true	DILUPBiCGStab	1.31061200e-03	5.13513060e-05	1	true
45              	DILUPBiCGStab	4.83785290e-03	3.48750950e-05	1	3.56441610e-03	1.64195240e-05	1	false	DILUPBiCGStab	5.89798210e-03	2.84374270e-05	1	true	GAMG	1.10607580e-02	8.93812010e-05	18	true	DILUPBiCGStab	2.60290790e-02	1.37327350e-03	1	true	DILUPBiCGStab	1.25714300e-03	5.17056130e-05	1	true
46              	DILUPBiCGStab	4.76280300e-03	3.42996830e-05	1	3.49048860e-03	1.64977070e-05	1	false	DILUPBiCGStab	5.41944330e-03	2.63100800e-05	1	true	GAMG	1.06242120e-02	1.02597120e-04	16	true	DILUPBiCGStab	2.55458590e-02	1.34376520e-03	1	true	DILUPBiCGStab	1.19686040e-03	5.18794090e-05	1	true
47              	DILUPBiCGStab	4.69028250e-03	3.36868940e-05	1	3.42295280e-03	1.65796380e-05	1	false	DILUPBiCGStab	4.99952100e-03	2.47377590e-05	1	true	GAMG	1.02069930e-02	1.00382650e-04	16	true	DILUPBiCGStab	2.57291100e-02	1.33759220e-03	1	true	DILUPBiCGStab	1.13480300e-03	5.18717300e-05	1	true
48              	DILUPBiCGStab	4.61886920e-03	3.30491430e-05	1	3.35530070e-03	1.66224370e-05	1	false	DILUPBiCGStab	4.58795210e-03	2.29373800e-05	1	true	GAMG	9.82265250e-03	9.73674630e-05	16	true	DILUPBiCGStab	2.64789170e-02	1.35361790e-03	1	true	DILUPBiCGStab	1.07080400e-03	5.17191610e-05	1	true
49              	DILUPBiCGStab	4.54711730e-03	3.23719670e-05	1	3.29240740e-03	1.66701730e-05	1	false	DILUPBiCGStab	4.20246030e-03	2.10493560e-05	1	true	GAMG	9.50543000e-03	8.89222240e-05	15	true	DILUPBiCGStab	2.76284510e-02	1.39087220e-03	1	true	DILUPBiCGStab	1.01070070e-03	5.16741350e-05	1	true
50              	DILUPBiCGStab	4.47649030e-03	3.16856900e-05	1	3.23371350e-03	1.68009880e-05	1	false	DILUPBiCGStab	3.83702370e-03	1.91706480e-05	1	true	GAMG	9.17588010e-03	8.70277380e-05	15	true	DILUPBiCGStab	2.89966340e-02	1.44490590e-03	1	true	DILUPBiCGStab	9.51063200e-04	5.11435580e-05	1	true
51              	DILUPBiCGStab	4.40718100e-03	3.10094580e-05	1	3.17740410e-03	1.69376500e-05	1	false	DILUPBiCGStab	3.49077420e-03	3.46275380e-04	1	true	GAMG	8.91553630e-03	8.35845810e-05	15	true	DILUPBiCGStab	3.04288170e-02	1.50813780e-03	1	true	DILUPBiCGStab	8.89508880e-04	5.07872580e-05	1	true
